Author,Title,Abstract
JUAN CHEN,Characterizing and mitigating intraday variability: reconstructing source structure in accreting black holes with mm-VLBI,"The extraordinary physical resolution afforded by the Event Horizon Telescope has opened a window onto the astrophysical phenomena unfolding on horizon scales in two known black holes, M87* and Sgr A*. However, with this leap in resolution has come a new set of practical complications. Sgr A* exhibits intraday variability that violates the assumptions underlying Earth aperture synthesis, limiting traditional image reconstruction methods to short timescales and data sets with very sparse (u, v) coverage. We present a new set of tools to detect and mitigate this variability. We develop a data-driven, model-agnostic procedure to detect and characterize the spatial structure of intraday variability. This method is calibrated against a large set of mock data sets, producing an empirical estimator of the spatial power spectrum of the brightness fluctuations. We present a novel Bayesian noise modeling algorithm that simultaneously reconstructs an average image and statistical measure of the fluctuations about it using a parameterized form for the excess variance in the complex visibilities not otherwise explained by the statistical errors. These methods are validated using a variety of simulated data, including general relativistic magnetohydrodynamic simulations appropriate for Sgr A* and M87*. We find that the reconstructed source structure and variability are robust to changes in the underlying image model. We apply these methods to the 2017 EHT observations of M87*, finding evidence for variability across the EHT observing campaign. The variability mitigation strategies presented are widely applicable to very long baseline interferometry observations of variable sources generally, for which they provide a data-informed averaging procedure and natural characterization of inter-epoch image consistency."
JUAN CHEN,The polarized image of a synchrotron-emitting ring of gas orbiting a black hole,"Synchrotron radiation from hot gas near a black hole results in a polarized image. The image polarization is determined by effects including the orientation of the magnetic field in the emitting region, relativistic motion of the gas, strong gravitational lensing by the black hole, and parallel transport in the curved spacetime. We explore these effects using a simple model of an axisymmetric, equatorial accretion disk around a Schwarzschild black hole. By using an approximate expression for the null geodesics derived by Beloborodov and conservation of the Walker–Penrose constant, we provide analytic estimates for the image polarization. We test this model using currently favored general relativistic magnetohydrodynamic simulations of M87*, using ring parameters given by the simulations. For a subset of these with modest Faraday effects, we show that the ring model broadly reproduces the polarimetric image morphology. Our model also predicts the polarization evolution for compact flaring regions, such as those observed from Sgr A* with GRAVITY. With suitably chosen parameters, our simple model can reproduce the EVPA pattern and relative polarized intensity in Event Horizon Telescope images of M87*. Under the physically motivated assumption that the magnetic field trails the fluid velocity, this comparison is consistent with the clockwise rotation inferred from total intensity images."
JUAN CHEN,First Sagittarius A* Event Horizon Telescope results. I. The shadow of the supermassive black hole in the center of the Milky Way,"We present the first Event Horizon Telescope (EHT) observations of Sagittarius A* (Sgr A*), the Galactic center source associated with a supermassive black hole. These observations were conducted in 2017 using a global interferometric array of eight telescopes operating at a wavelength of λ = 1.3 mm. The EHT data resolve a compact emission region with intrahour variability. A variety of imaging and modeling analyses all support an image that is dominated by a bright, thick ring with a diameter of 51.8 ± 2.3 μas (68% credible interval). The ring has modest azimuthal brightness asymmetry and a comparatively dim interior. Using a large suite of numerical simulations, we demonstrate that the EHT images of Sgr A* are consistent with the expected appearance of a Kerr black hole with mass ∼4 × 106 M ⊙, which is inferred to exist at this location based on previous infrared observations of individual stellar orbits, as well as maser proper-motion studies. Our model comparisons disfavor scenarios where the black hole is viewed at high inclination (i &gt; 50°), as well as nonspinning black holes and those with retrograde accretion disks. Our results provide direct evidence for the presence of a supermassive black hole at the center of the Milky Way, and for the first time we connect the predictions from dynamical measurements of stellar orbits on scales of 103–105 gravitational radii to event-horizon-scale images and variability. Furthermore, a comparison with the EHT results for the supermassive black hole M87* shows consistency with the predictions of general relativity spanning over three orders of magnitude in central mass."
LAUREN MATTIOLI,The limits of criminal justice reform: an analysis of elite rhetoric in four cities,"As the coronavirus pandemic swept the nation in 2020, many emphasized that carceral spaces were hotspots for the virus, leaving Black and Brown people especially vulnerable to infection. In combination with other critiques of racism in the carceral state, these observations created pressure to decarcerate, especially on the political left. How did political elites discuss the carceral state in this changed atmosphere? To answer this question, we analyze rhetoric in public statements across four liberal metropolitan areas during the spring and summer of 2020. In these statements, we find a long-standing discourse of racially paternalist penal welfarism, retrofitted to pandemic times and accompanied by a distinction between “deserving” and “undeserving” criminals. Accommodating portrayals of incarcerated people as vulnerable to COVID-19 and in desperate need of care, this pattern of rhetoric positioned the carceral state as a protector in order to justify continued incarceration."
HAYA HERSCOVITZ,Capzb2 Interacts with β-Tubulin to Regulate Growth Cone Morphology and Neurite Outgrowth,"An actin regulatory protein unexpectedly also controls microtubule polymerization during the formation and maintenance of cellular outgrowths in neurons. Capping protein (CP) is a heterodimer that regulates actin assembly by binding to the barbed end of F-actin. In cultured nonneuronal cells, each CP subunit plays a critical role in the organization and dynamics of lamellipodia and filopodia. Mutations in either α or β CP subunit result in retinal degeneration in Drosophila. However, the function of CP subunits in mammalian neurons remains unclear. Here, we investigate the role of the β CP subunit expressed in the brain, Capzb2, in growth cone morphology and neurite outgrowth. We found that silencing Capzb2 in hippocampal neurons resulted in short neurites and misshapen growth cones in which microtubules overgrew into the periphery and completely overlapped with F-actin. In searching for the mechanisms underlying these cytoskeletal abnormalities, we identified β-tubulin as a novel binding partner of Capzb2 and demonstrated that Capzb2 decreases the rate and the extent of tubulin polymerization in vitro. We mapped the region of Capzb2 that was required for the subunit to interact with β-tubulin and inhibit microtubule polymerization. A mutant Capzb2 lacking this region was able to bind F-actin and form a CP heterodimer with α2-subunit. However, this mutant was unable to rescue the growth cone and neurite outgrowth phenotypes caused by Capzb2 knockdown. Together, these data suggest that Capzb2 plays an important role in growth cone formation and neurite outgrowth and that the underlying mechanism may involve direct interaction between Capzb2 and microtubules. Author SummaryNeuronal growth, migration, and survival depend on the regulated formation of cellular outgrowths called neurites. Extension of normal neurites requires coordinated interactions between cytoskeletal networks made up of microfilaments (composed of F-actin) and microtubules (formed by tubulin) in structures called growth cones that form at the tips of growing neurites. Capping protein (CP) is a heterodimer that regulates F-actin assembly in a variety of cell types. Surprisingly, the neuronal CP β subunit, Capzb2, not only regulates F-actin assembly, but also inhibits microtubule polymerization by direct interaction with tubulin. We further show that this function of Capzb2 is required for establishment of the normal shape of growth cones and the appropriate length of neurites. Our data thus reveal an unexpected, dual role for CP in the regulation of both microfilaments and microtubules in neurons."
BRYAN PLUMMER,Neural parameter allocation search,
BRYAN PLUMMER,Why do these match? Explaining the behavior of image similarity models,"Explaining a deep learning model can help users understand its behavior and allow researchers to discern its shortcomings. Recent work has primarily focused on explaining models for tasks like image classiffication or visual question answering. In this paper, we introduce Salient Attributes for Network Explanation (SANE) to explain image similarity models, where a model's output is a score measuring the similarity of two inputs rather than a classiffication score. In this task, an explanation depends on both of the input images, so standard methods do not apply. Our SANE explanations pairs a saliency map identifying important image regions with an attribute that best explains the match. We find that our explanations provide additional information not typically captured by saliency maps alone, and can also improve performance on the classic task of attribute recognition. Our approach's ability to generalize is demonstrated on two datasets from diverse do- mains, Polyvore Outfits and Animals with Attributes 2. Code available at: https://github.com/VisionLearningGroup/SANE"
BRYAN PLUMMER,Learning to scale multilingual representations for vision-language tasks,"Current multilingual vision-language models either require a large number of additional parameters for each supported language, or suffer performance degradation as languages are added. In this paper, we propose a Scalable Multilingual Aligned Language Representation (SMALR) that supports many languages with few model parameters without sacrificing downstream task performance. SMALR learns a fixed size language-agnostic representation for most words in a multilingual vocabulary, keeping language-specific features for just a few. We use a masked cross-language modeling loss to align features with context from other languages. Additionally, we propose a cross-lingual consistency module that ensures predictions made for a query and its machine translation are comparable. The effectiveness of SMALR is demonstrated with ten diverse languages, over twice the number supported in vision-language tasks to date. We evaluate on multilingual image-sentence retrieval and outperform prior work by 3-4% with less than 1/5th the training parameters compared to other word embedding methods."
BRYAN PLUMMER,Detecting cross-modal inconsistency to defend against neural fake news,"Large-scale dissemination of disinformation online intended to mislead or deceive the general population is a major societal problem. Rapid progression in image, video, and natural language generative models has only exacerbated this situation and intensified our need for an effective defense mechanism. While existing approaches have been proposed to defend against neural fake news, they are generally constrained to the very limited setting where articles only have text and metadata such as the title and authors. In this paper, we introduce the more realistic and challenging task of defending against machine-generated news that also includes images and captions. To identify the possible weaknesses that adversaries can exploit, we create a NeuralNews dataset which is comprised of 4 different types of generated articles as well as conduct a series of human user study experiments based on this dataset. Coupled with providing a relatively effective approach based on detecting visual-semantic inconsistencies, the valuable insights gleaned from our user study experiments and, consequently, this paper will serve as an effective first line of defense and a valuable reference for future work in defending against machine-generated disinformation."
BRYAN PLUMMER,Learning to scale multilingual representations for vision-language tasks,"Current multilingual vision-language models either require a large number of additional parameters for each supported language, or suffer performance degradation as languages are added. In this paper, we propose a Scalable Multilingual Aligned Language Representation (SMALR) that supports many languages with few model parameters without sacrificing downstream task performance. SMALR learns a fixed size language-agnostic representation for most words in a multilingual vocabulary, keeping language-specific features for just a few. We use a masked cross-language modeling loss to align features with context from other languages. Additionally, we propose a cross-lingual consistency module that ensures predictions made for a query and its machine translation are comparable. The effectiveness of SMALR is demonstrated with ten diverse languages, over twice the number supported in vision-language tasks to date. We evaluate on multilingual image-sentence retrieval and outperform prior work by 3-4% with less than 1/5th the training parameters compared to other word embedding methods."
RACHEL S AMGOTT,Whorl: 2024,
TUAN LENG TAY,More than cell markers: understanding heterogeneous glial responses to implantable neural devices,
TUAN LENG TAY,Understanding the roles of glia and circulating leukocytes in neurodegenerative diseases,
TUAN LENG TAY,Attack of the clones: microglia in health and disease,"[INTRODUCTION] Microglia are brain-resident macrophages that carry out immune surveillance, support neurogenesis and neuronal survival, shape the neuronal network, and maintain tissue homeostasis (Nimmerjahn et al., 2005; Hanisch and Kettenmann, 2007; Sierra et al., 2010; Tremblay et al., 2010; Schafer et al., 2012; Ueno et al., 2013; Squarzoni et al., 2014; Schafer and Stevens, 2015; Diaz-Aparicio et al., 2020). The adult resident pool of microglia is primarily derived from yolk sac (YS) erythromyeloid progenitors (EMPs) that have clonally proliferated within the brain parenchyma during development (Alliot et al., 1999; Ginhoux et al., 2010; Hashimoto et al., 2013; Gomez Perdiguero et al., 2015). To maintain their cell density in adulthood, the resident microglial cells undergo local clonal self-renewal (Ajami et al., 2007; Askew et al., 2017; Réu et al., 2017; Tay et al., 2017). A study on parabiotic chimeric mice revealed that the resident microglial population is exclusively replenished by locally derived microglial clones with no evidence of contribution from peripheral myeloid progenitors (Ajami et al., 2007). Clonal expansion of non-ablated residual microglia was also found to be responsible for re-establishing steady state microglial cell densities following a pharmacological ablation (Huang et al., 2018). Homeostatic microglia continuously monitor the brain environment, scavenge dying cells and cellular debris, and rapidly respond to any tissue damage (Kreutzberg, 1996; Streit et al., 1999). In response to acute pathology, resident microglia rapidly accumulate around the lesion via clonal microgliosis (Streit et al., 1999; Ladeby et al., 2005; Ajami et al., 2007; Ransohoff, 2007). Microgliosis at the site of CNS damage has been shown to be governed by signaling molecules like colony-stimulating factor-1 (CSF1), fractalkine receptor (CX3CR1) and purinergic receptor P2Y12 (P2RY12) (Guan et al., 2016; Gu et al., 2016; Peng et al., 2016). To repair damage, microglia elicit proinflammatory cytokines and later transition to anti-inflammatory phenotypes (Colton, 2009; Lloyd et al., 2019). Several studies have suggested that clinical recovery of acute lesions is accompanied by the resolution of proliferated microglia by migration and cell death (Dihné et al., 2001; Wilson et al., 2004; Tay et al., 2017; Lloyd et al., 2019). However, in severe or chronic neurodegenerative pathologies like Alzheimer's disease (AD), Parkinson's disease (PD), multiple sclerosis (MS), and motor neuron diseases, microglial clonal expansion has been persistently observed around lesions and plaques (Glass et al., 2010; Streit et al., 2020). In AD and MS animal models, microglial proliferation around the Aβ plaques and demyelinating neurons was actively promoted by CSF1R and triggering receptor expressed on myeloid cells 2 (TREM2) (Cantoni et al., 2015; Olmos-Alonso et al., 2016; Wang et al., 2016; Jay et al., 2017; Gushchina et al., 2018; Zhao et al., 2018). CSF1R, transforming growth factor beta (TGFβ), and purinergic signaling pathways that influence microglial cell densities are impaired in neurodegenerative diseases (Gómez-Nicola et al., 2013; Von Bernhardi et al., 2015; Olmos-Alonso et al., 2016; Pietrowski et al., 2021). Taken together, the capacity for microglial clonal expansion, proliferation, or renewal, clearly play an important function across CNS development, health, and disease. Although clonal expansion and renewal of microglia appears necessary for physiological brain development, maintenance of CNS health, and response to acute damage, whether microglial clones are beneficial or detrimental in chronic neurodegeneration remains unclear. In this opinion article, we discuss the implications of the formation of microglial clones in health and disease, independent of peripheral myeloid recruitment to the CNS in similar contexts (Figure 1). Several studies have claimed that microglia surrounding plaques and lesions exert detrimental effects and exacerbate disease conditions (Streit et al., 2009; Lassmann et al., 2012; Keren-Shaul et al., 2017; Krasemann et al., 2017; Shahidehpour et al., 2021). Considering that the restoration of tissue homeostasis coincides with the resolution of microglial clones to regain steady state microglial tiling (Dihné et al., 2001; Wilson et al., 2004; Tay et al., 2017; Lloyd et al., 2019), we hypothesize that unresolved microglial clones contribute to the prolongation of neurodegenerative states in chronic neuropathologies. As a hallmark of CNS pathology, microgliosis is likely important to limit tissue damage and infection and for local repair, as is typical in inflammatory responses of tissue-resident macrophages (Jenkins et al., 2011). A timely resolution of excess microglia resulting from clonal expansion is expected to aid or accompany the restoration of homeostasis and clinical recovery. However, sustained presence of reactive microglial clones at high densities around lesions or plaques with no signs of resolution likely lead to neurotoxic outcomes. To explore our hypothesis, we examine various contexts in which microglial clonal expansion has taken place and consider if strategic targeting of microglial clones could ameliorate chronic disease states."
EMILY EVANS,"Boston University Pre-Law Review: Volume XXIII, Issue 1, Spring 2014",
EMILY EVANS,RNA-Seq identifies SPGs as a ventral skeletal patterning cue in sea urchins,"The sea urchin larval skeleton offers a simple model for formation of developmental patterns. The calcium carbonate skeleton is secreted by primary mesenchyme cells (PMCs) in response to largely unknown patterning cues expressed by the ectoderm. To discover novel ectodermal cues, we performed an unbiased RNA-Seq-based screen and functionally tested candidates; we thereby identified several novel skeletal patterning cues. Among these, we show that SLC26a2/7 is a ventrally expressed sulfate transporter that promotes a ventral accumulation of sulfated proteoglycans, which is required for ventral PMC positioning and skeletal patterning. We show that the effects of SLC perturbation are mimicked by manipulation of either external sulfate levels or proteoglycan sulfation. These results identify novel skeletal patterning genes and demonstrate that ventral proteoglycan sulfation serves as a positional cue for sea urchin skeletal patterning."
NING HUA,Genetic Disruption of Myostatin Reduces the Development of Proatherogenic Dyslipidemia and Atherogenic Lesions In Ldlr Null Mice,"OBJECTIVE: Insulin-resistant states, such as obesity and type 2 diabetes, contribute substantially to accelerated atherogenesis. Null mutations of myostatin (Mstn) are associated with increased muscle mass and decreased fat mass. In this study, we determined whether Mstn disruption could prevent the development of insulin resistance, proatherogenic dyslipidemia, and atherogenesis. RESEARCH DESIGN AND METHODS: C57BL/6 Ldlr−/− mice were cross-bred with C57BL/6 Mstn−/− mice for >10 generations to generate Mstn−/−/Ldlr−/− double-knockout mice. The effects of high-fat/high-cholesterol diet on body composition, plasma lipids, systemic and tissue-specific insulin sensitivity, hepatic steatosis, as well as aortic atheromatous lesion were characterized in Mstn−/−/Ldlr−/− mice in comparison with control Mstn+/+/Ldlr−/− mice. RESULTS: Compared with Mstn+/+/Ldlr−/− controls, Mstn−/−/ Ldlr−/− mice were resistant to diet-induced obesity, and had greatly improved insulin sensitivity, as indicated by 42% higher glucose infusion rate and 90% greater muscle [3H]-2-deoxyglucose uptake during hyperinsulinemic-euglycemic clamp. Mstn−/−/Ldlr−/− mice were protected against diet-induced hepatic steatosis and had 56% higher rate of hepatic fatty acid β-oxidation than controls. Mstn−/−/Ldlr−/− mice also had 36% lower VLDL secretion rate and were protected against diet-induced dyslipidemia, as indicated by 30–60% lower VLDL and LDL cholesterol, free fatty acids, and triglycerides. Magnetic resonance angiography and en face analyses demonstrated 41% reduction in aortic atheromatous lesions in Ldlr−/− mice with Mstn deletion. CONCLUSIONS: Inactivation of Mstn protects against the development of insulin resistance, proatherogenic dyslipidemia, and aortic atherogenesis in Ldlr−/− mice. Myostatin may be a useful target for drug development for prevention and treatment of obesity and its associated type 2 diabetes and atherosclerosis."
NING HUA,Studies in multi-modal cardiovascular imaging: cardiovascular MRI in humans and targeted fluorescence in an animal model of atherosclerosis,"Cardiovascular disease (CVD) remains the leading cause of mortality and morbidity in the United States. It encompasses a variety of conditions that involve the heart and/or the vascular system, including coronary heart disease, ischemic heart disease, cardiomyopathy, atherosclerosis and stroke. Understanding the risk factors and mechanisms underlying CVD as well as developing early diagnostic methods has great clinical importance. In this thesis work, we used Magnetic Resonance Imaging (MRI) and studied two aspects of CVD. Firstly, we explored the regional influence of pericardial/periaortic fat on the underlying organs in human subjects. Pericardial fat volume did not correlate with BMI in either obese or control subjects. Left ventricular (LV) function, including stroke volume (r=-0.29, p=0.04) and cardiac output (r=-0.33, p=0.02), was inversely related to LV fat but not right ventricular (RV) fat. LV diastolic function, including early filling rate (E-rate), early/late filling ratio (E/A), showed a stronger correlation to LV fat (E-rate, r=-0.41, p=0.005; E/A, r=-0.31, p=0.04) than RV fat. This evidence suggests local toxic effects of pericardia! fat on cardiac structure/function. Periaortic fat was also found positively linked to plaque volume, which suggests a paracrine role of periaortic fat in atherogenesis. Secondly, we combined in vivo MRI and ex vivo targeted fluorescence imaging to detect vulnerable plaques (VPs) in a rabbit model. The fluorescence signal from enzyme-activated targeted probes (PLGLAG-cy5 and DPRSFL-cy5) co-localized most strongly with vulnerable aortic plaques as detected by MRI. Statistically, fluorescence signal was enhanced (by 40-60%) in VPs as compared to stable ones. In addition, the fluorescence signal was related to the MRI plaque vulnerability measurements, such as outward remodeling and enhanced gadolinium uptake. The combination of MRI and targeted molecular imaging can help us to understand both plaque morphology and functionality, which in turn can increase the diagnostic accuracy of the vulnerable plaques. In conclusion, we identified local toxic effect of regional fat depots on cardiovascular function using MRI. We also demonstrated MRI is a powerful technique in studying CVD. Combination of MRI and molecular imaging can help us understand the morphology and function of the atherosclerotic plaques, which might help early detection of VPs."
NING HUA,"Concussion, microvascular injury, and early tauopathy in young athletes after impact head injury and an impact concussion mouse model","The mechanisms underpinning concussion, traumatic brain injury, and chronic traumatic encephalopathy, and the relationships between these disorders, are poorly understood. We examined post-mortem brains from teenage athletes in the acute-subacute period after mild closed-head impact injury and found astrocytosis, myelinated axonopathy, microvascular injury, perivascular neuroinflammation, and phosphorylated tau protein pathology. To investigate causal mechanisms, we developed a mouse model of lateral closed-head impact injury that uses momentum transfer to induce traumatic head acceleration. Unanaesthetized mice subjected to unilateral impact exhibited abrupt onset, transient course, and rapid resolution of a concussion-like syndrome characterized by altered arousal, contralateral hemiparesis, truncal ataxia, locomotor and balance impairments, and neurobehavioural deficits. Experimental impact injury was associated with axonopathy, blood–brain barrier disruption, astrocytosis, microgliosis (with activation of triggering receptor expressed on myeloid cells, TREM2), monocyte infiltration, and phosphorylated tauopathy in cerebral cortex ipsilateral and subjacent to impact. Phosphorylated tauopathy was detected in ipsilateral axons by 24 h, bilateral axons and soma by 2 weeks, and distant cortex bilaterally at 5.5 months post-injury. Impact pathologies co-localized with serum albumin extravasation in the brain that was diagnostically detectable in living mice by dynamic contrast-enhanced MRI. These pathologies were also accompanied by early, persistent, and bilateral impairment in axonal conduction velocity in the hippocampus and defective long-term potentiation of synaptic neurotransmission in the medial prefrontal cortex, brain regions distant from acute brain injury. Surprisingly, acute neurobehavioural deficits at the time of injury did not correlate with blood–brain barrier disruption, microgliosis, neuroinflammation, phosphorylated tauopathy, or electrophysiological dysfunction. Furthermore, concussion-like deficits were observed after impact injury, but not after blast exposure under experimental conditions matched for head kinematics. Computational modelling showed that impact injury generated focal point loading on the head and seven-fold greater peak shear stress in the brain compared to blast exposure. Moreover, intracerebral shear stress peaked before onset of gross head motion. By comparison, blast induced distributed force loading on the head and diffuse, lower magnitude shear stress in the brain. We conclude that force loading mechanics at the time of injury shape acute neurobehavioural responses, structural brain damage, and neuropathological sequelae triggered by neurotrauma. These results indicate that closed-head impact injuries, independent of concussive signs, can induce traumatic brain injury as well as early pathologies and functional sequelae associated with chronic traumatic encephalopathy. These results also shed light on the origins of concussion and relationship to traumatic brain injury and its aftermath."
CAROLINA VEGA,Probing the innermost regions of AGN jets and their magnetic fields with RadioAstron II. Observations of 3C 273 at minimum activity,"CONTEXT. RadioAstron is a 10 m orbiting radio telescope mounted on the Spektr-R satellite, launched in 2011, performing Space Very Long Baseline Interferometry (SVLBI) observations supported by a global ground array of radio telescopes. With an apogee of 350 000 km, it is offering for the first time the possibility to perform μas-resolution imaging in the cm-band. Aims: The RadioAstron active galactic nuclei (AGN) polarization Key Science Project (KSP) aims at exploiting the unprecedented angular resolution provided by RadioAstron to study jet launching/collimation and magnetic-field configuration in AGN jets. The targets of our KSP are some of the most powerful blazars in the sky. Methods: We present observations at 22 GHz of 3C 273, performed in 2014, designed to reach a maximum baseline of approximately nine Earth diameters. Reaching an angular resolution of 0.3 mas, we study a particularly low-activity state of the source, and estimate the nuclear region brightness temperature, comparing with the extreme one detected one year before during the RadioAstron early science period. We also make use of the VLBA-BU-BLAZAR survey data, at 43 GHz, to study the kinematics of the jet in a 1.5-yr time window. Results: We find that the nuclear brightness temperature is two orders of magnitude lower than the exceptionally high value detected in 2013 with RadioAstron at the same frequency (1.4 × 1013 K, source-frame), and even one order of magnitude lower than the equipartition value. The kinematics analysis at 43 GHz shows that a new component was ejected 2 months after the 2013 epoch, visible also in our 22 GHz map presented here. Consequently this was located upstream of the core during the brightness temperature peak. Fermi-LAT observations for the period 2010-2014 do not show any γ-ray flare in conjunction with the passage of the new component by the core at 43 GHz. Conclusions: These observations confirm that the previously detected extreme brightness temperature in 3C 273, exceeding the inverse Compton limit, is a short-lived phenomenon caused by a temporary departure from equipartition. Thus, the availability of interferometric baselines capable of providing μas angular resolution does not systematically imply measured brightness temperatures over the known physical limits for astrophysical sources. The reduced image (FITS file) is only available at the CDS via anonymous ftp to http://cdsarc.u-strasbg.fr (http://130.79.128.5) or via http://cdsarc.u-strasbg.fr/viz-bin/qcat?J/A+A/604/A111"
TAKEO RIVERA,"Techno-Orientalism: Imagining Asia in Speculative Fiction, History, and Media, edited by David S. Roh, Betsy Huang, Greta A. Niu",
TAKEO RIVERA,"Minority models: Masochism, masculinity, and the machine in Asian American cultural politics","As W.E.B. DuBois asked African Americans in The Souls of Black Folk, “How does it feel to be the problem?”, Vijay Prashad asked Asian Americans in The Karma of Brown Folk, “How does it feel to be the solution?” That is, what are the affective and ethical repercussions of being positioned as “model minority” in the U.S. racial system? In response, this dissertation aims to develop a queer theory of Asian American masochism, gesturing to a cultural politics intertwined with this racial position, negotiated through a masochistic attachment to the figure of the machine. My dissertation, Minority Models: Masochism, Masculinity, and the Machine in Asian American Cultural Politics, analyzes the masochistic performance of masculine Asian American cultural production in the co-constitution of Asianness and machineness in Asian American identity from 1982 to the present day. Through the study of Asian American literature and theater, the political histories of Asian American critique, as well as new media forms like video games and comics, I argue that masculine Asian American cultural production places Asian American masculinity and mechanization into a symbiotic relationship in its articulations of Asian American identity. My work asks: what are the affective and ethical repercussions of being positioned as “model minority” in the U.S. racial system? One answer, this text suggests, lies in masochistic pleasure, wherein reception of pain and penetrability become sources of both pleasure and moral legitimacy. Building upon prior scholarship that models Asian American subject formation within a rubric of melancholic lack—such as Anne Cheng’s Melancholy of Race and David Eng’s Racial Castration—I gesture towards revising such models in favor of the pleasures of masochism. I argue that Asian American cultural production generates affective and ethical meaning from masochism as a moral economy, source of pleasure, and avenue for imagining racial form beyond human boundaries."
TAKEO RIVERA,Model minority masochism,
JESSICA H CHAO,Event Horizon Telescope imaging of the archetypal blazar 3C 279 at an extreme 20 microarcsecond resolution,"3C 279 is an archetypal blazar with a prominent radio jet that show broadband flux density variability across the entire electromagnetic spectrum. We use an ultra-high angular resolution technique – global Very Long Baseline Interferometry (VLBI) at 1.3 mm (230 GHz) – to resolve the innermost jet of 3C 279 in order to study its fine-scale morphology close to the jet base where highly variable γ-ray emission is thought to originate, according to various models. The source was observed during four days in April 2017 with the Event Horizon Telescope at 230 GHz, including the phased Atacama Large Millimeter/submillimeter Array (ALMA), at an angular resolution of ∼20 μas (at a redshift of z = 0.536 this corresponds to ∼0.13 pc  ∼ 1700 Schwarzschild radii with a black hole mass M<jats:sub>BH</jats:sub> = 8 × 10^8 M_⊙). Imaging and model-fitting techniques were applied to the data to parameterize the fine-scale source structure and its variation. We find a multicomponent inner jet morphology with the northernmost component elongated perpendicular to the direction of the jet, as imaged at longer wavelengths. The elongated nuclear structure is consistent on all four observing days and across different imaging methods and model-fitting techniques, and therefore appears robust. Owing to its compactness and brightness, we associate the northern nuclear structure as the VLBI “core”. This morphology can be interpreted as either a broad resolved jet base or a spatially bent jet. We also find significant day-to-day variations in the closure phases, which appear most pronounced on the triangles with the longest baselines. Our analysis shows that this variation is related to a systematic change of the source structure. Two inner jet components move non-radially at apparent speeds of ∼15 c and ∼20 c (∼1.3 and ∼1.7 μas day^−1, respectively), which more strongly supports the scenario of traveling shocks or instabilities in a bent, possibly rotating jet. The observed apparent speeds are also coincident with the 3C 279 large-scale jet kinematics observed at longer (cm) wavelengths, suggesting no significant jet acceleration between the 1.3 mm core and the outer jet. The intrinsic brightness temperature of the jet components are ≲10^10 K, a magnitude or more lower than typical values seen at ≥7 mm wavelengths. The low brightness temperature and morphological complexity suggest that the core region of 3C 279 becomes optically thin at short (mm) wavelengths."
JESSICA H CHAO,First M87 Event Horizon Telescope results. II. Array and instrumentation,"The Event Horizon Telescope (EHT) is a very long baseline interferometry (VLBI) array that comprises millimeter- and submillimeter-wavelength telescopes separated by distances comparable to the diameter of the Earth. At a nominal operating wavelength of ~1.3 mm, EHT angular resolution (λ/D) is ~25 μas, which is sufficient to resolve nearby supermassive black hole candidates on spatial and temporal scales that correspond to their event horizons. With this capability, the EHT scientific goals are to probe general relativistic effects in the strong-field regime and to study accretion and relativistic jet formation near the black hole boundary. In this Letter we describe the system design of the EHT, detail the technology and instrumentation that enable observations, and provide measures of its performance. Meeting the EHT science objectives has required several key developments that have facilitated the robust extension of the VLBI technique to EHT observing wavelengths and the production of instrumentation that can be deployed on a heterogeneous array of existing telescopes and facilities. To meet sensitivity requirements, high-bandwidth digital systems were developed that process data at rates of 64 gigabit s−1, exceeding those of currently operating cm-wavelength VLBI arrays by more than an order of magnitude. Associated improvements include the development of phasing systems at array facilities, new receiver installation at several sites, and the deployment of hydrogen maser frequency standards to ensure coherent data capture across the array. These efforts led to the coordination and execution of the first Global EHT observations in 2017 April, and to event-horizon-scale imaging of the supermassive black hole candidate in M87."
JESSICA H CHAO,First M87 Event Horizon Telescope results. I. The shadow of the supermassive black hole,"When surrounded by a transparent emission region, black holes are expected to reveal a dark shadow caused by gravitational light bending and photon capture at the event horizon. To image and study this phenomenon, we have assembled the Event Horizon Telescope, a global very long baseline interferometry array observing at a wavelength of 1.3 mm. This allows us to reconstruct event-horizon-scale images of the supermassive black hole candidate in the center of the giant elliptical galaxy M87. We have resolved the central compact radio source as an asymmetric bright emission ring with a diameter of 42 ± 3 μas, which is circular and encompasses a central depression in brightness with a flux ratio gsim10:1. The emission ring is recovered using different calibration and imaging schemes, with its diameter and width remaining stable over four different observations carried out in different days. Overall, the observed image is consistent with expectations for the shadow of a Kerr black hole as predicted by general relativity. The asymmetry in brightness in the ring can be explained in terms of relativistic beaming of the emission from a plasma rotating close to the speed of light around a black hole. We compare our images to an extensive library of ray-traced general-relativistic magnetohydrodynamic simulations of black holes and derive a central mass of M = (6.5 ± 0.7) × 10^9 M ⊙. Our radio-wave observations thus provide powerful evidence for the presence of supermassive black holes in centers of galaxies and as the central engines of active galactic nuclei. They also present a new tool to explore gravity in its most extreme limit and on a mass scale that was so far not accessible."
